transition_id,peak_id,e_gamma_keV,de_gamma_keV,level_initial_id,level_final_id,e_level_initial_keV,e_level_final_keV,current_relative_percent,current_relative_err_percent,current_absolute_percent,current_absolute_err_percent,integral_counts,integral_err,current_origin_label,literature_status,literature_source_primary,literature_e_gamma_keV,literature_i_gamma_rel_percent,literature_i_gamma_abs_percent,delta_e_current_minus_lit_keV,intensity_ratio_current_to_lit,agreement_status,quality_flag,comment
tr_lv_1368_lv_0,pk_1367p97,1367.97,0.10,lv_1368,lv_0,1367.88,0,3.0845,0.0443,2.7521,0.0440,7318,86,known,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
tr_lv_1992_lv_569,pk_1422p69,1422.69,0.11,lv_1992,lv_569,1992.05,569.36,1.1520,0.0244,1.0278,0.0229,2650,51,known,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
tr_lv_2196_lv_569,pk_1627p05,1627.05,0.12,lv_2196,lv_569,2196.41,569.36,1.5752,0.0309,1.4054,0.0293,3253,57,known,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
tr_lv_3050_lv_1329,pk_1721p39,1721.39,0.13,lv_3050,lv_1329,3050.48,1328.92,0.9788,0.0239,0.8734,0.0222,1931,44,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_2316_lv_569,pk_1746p49,1746.49,0.12,lv_2316,lv_569,2315.85,569.36,1.2648,0.0279,1.1285,0.0261,2465,50,known,previously_reported,legacy_literature_or_NDS,,,,,,possible_escape_peak_check_before_literature_comparison,possible_escape_peak,2767 keV single escape?
tr_lv_2578_lv_569,pk_2008p21,2008.21,0.11,lv_2578,lv_569,2577.57,569.36,2.5662,0.0455,2.2897,0.0437,4451,67,known,previously_reported,legacy_literature_or_NDS,,,,,,needs_literature_numeric_values,normal,
tr_lv_4955_lv_2923,pk_2031p71,2031.71,0.13,lv_4955,lv_2923,4955.00,2923.29,0.6522,0.0205,0.5819,0.0187,1120,33,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,doublet_affected,doublet?
tr_lv_2668_lv_569,pk_2098p96,2098.96,0.14,lv_2668,lv_569,2668.27,569.36,0.5577,0.0191,0.4976,0.0174,932,31,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_2936_lv_569,pk_2366p11,2366.11,0.16,lv_2936,lv_569,2935.58,569.36,0.4877,0.0187,0.4351,0.0170,735,27,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_4302_lv_1705,pk_2596p22,2596.22,0.24,lv_4302,lv_1705,4301.94,1704.59,0.5839,0.0215,0.5210,0.0195,811,28,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_4135_lv_1368,pk_2767p02,2767.02,0.13,lv_4135,lv_1368,4134.90,1367.88,2.1580,0.0477,1.9254,0.0446,2830,53,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_3467_lv_569,pk_2897p36,2897.36,0.11,lv_3467,lv_569,3466.95,569.36,2.6698,0.0562,2.3821,0.0529,3360,58,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_2936_lv_0,pk_2935p68,2935.68,0.12,lv_2936,lv_0,2935.58,0,1.2308,0.0349,1.0981,0.0320,1531,39,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_3555_lv_569,pk_2985p13,2985.13,0.16,lv_3555,lv_569,3554.80,569.36,0.6968,0.0254,0.6217,0.0230,854,29,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_3608_lv_569,pk_3038p15,3038.15,0.25,lv_3608,lv_569,3607.51,569.36,0.2339,0.0142,0.2087,0.0128,282,17,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_3050_lv_0,pk_3050p64,3050.64,0.11,lv_3050,lv_0,3050.48,0,1.5427,0.0408,1.3765,0.0377,1853,43,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_3809_lv_569,pk_3239p21,3239.21,0.12,lv_3809,lv_569,3808.60,569.36,1.4374,0.0404,1.2825,0.0372,1635,40,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_3467_lv_0,pk_3467p18,3467.18,0.11,lv_3467,lv_0,3466.95,0,2.5772,0.0616,2.2995,0.0573,2755,52,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_3555_lv_0,pk_3555p10,3555.10,0.13,lv_3555,lv_0,3554.80,0,0.7748,0.0296,0.6913,0.0268,810,28,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_4302_lv_569,pk_3732p81,3732.81,0.18,lv_4302,lv_569,4301.94,569.36,0.7567,0.0300,0.6751,0.0272,756,27,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_3809_lv_0,pk_3808p63,3808.63,0.12,lv_3809,lv_0,3808.60,0,1.5436,0.0468,1.3772,0.0429,1514,39,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_4084_lv_0,pk_4084p20,4084.20,0.18,lv_4084,lv_0,4084.20,0,0.7913,0.0324,0.7060,0.0294,728,27,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
tr_lv_4302_lv_0,pk_4302p83,4302.83,0.18,lv_4302,lv_0,4301.94,0,0.5329,0.0266,0.4755,0.0240,468,22,new,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
