transition_id,peak_id,level_initial_id,level_final_id,decay_parent,decay_daughter,e_gamma_keV,de_gamma_keV,e_level_initial_keV,e_level_final_keV,origin,quality_flag,comment,fwhm_keV,fwhm_err_percent,integral_counts,integral_err,efficiency,efficiency_err,fit_error_percent,emitted,emitted_err,emitted_plus_ic,emitted_plus_ic_err,relative_percent,relative_err_percent,absolute_percent,absolute_err_percent,absolute_sum_percent,alpha_tot,multipolarity,icc_no_ic,icc_E1,icc_M1,icc_E2,icc_M2,icc_E3,icc_M3,icc_E4,icc_M4,icc_E5,icc_M5,in_scheme,source_table
tr_lv_2644_lv_1979,pk_665p27,lv_2644,lv_1979,122Ag,122Cd,665.27,0.10,2644.12,1978.97,known,doublet_affected,doublet,2.18,4.87,26385,162,0.03201,0.00018,0.56458,824383,4654,824383,4654,6.4309,0.0960,5.7379,0.0947,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_2668_lv_1979,pk_689p30,lv_2668,lv_1979,122Ag,122Cd,689.30,0.11,2668.27,1978.97,known,doublet_affected,doublet,2.26,6.62,8565,93,0.03116,0.00017,0.53791,274877,1479,274877,1479,2.1443,0.0301,1.9132,0.0300,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_1329_lv_569,pk_759p56,lv_1329,lv_569,122Ag,122Cd,759.56,0.10,1328.92,569.36,known,normal,,2.39,0.20,253069,503,0.02896,0.00014,0.47403,8738345,41423,8738345,41423,68.1662,0.6015,60.8204,0.6864,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_2702_lv_1910,pk_792p04,lv_2702,lv_1910,122Ag,122Cd,792.04,0.15,2702.14,1909.97,new,normal,,2.07,8.91,1493,39,0.02806,0.00013,0.45085,53182,240,53182,240,0.4149,0.0113,0.3702,0.0104,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_1368_lv_569,pk_798p43,lv_1368,lv_569,122Ag,122Cd,798.43,0.10,1367.88,569.36,known,normal,,2.32,1.85,25935,161,0.02790,0.00012,0.44672,929702,4153,929702,4153,7.2524,0.0760,6.4709,0.0817,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_2800_lv_1979,pk_821p19,lv_2800,lv_1979,122Ag,122Cd,821.19,0.10,2800.16,1978.97,known,normal,,2.32,0.53,13893,118,0.02731,0.00012,0.43314,508631,2203,508631,2203,3.9677,0.0473,3.5402,0.0490,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_2178_lv_1329,pk_848p72,lv_2178,lv_1329,122Ag,122Cd,848.72,0.10,2177.64,1328.92,known,normal,,2.38,0.13,63982,253,0.02665,0.00011,0.41892,2401170,10059,2401170,10059,18.7311,0.1723,16.7126,0.1936,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_2854_lv_1979,pk_875p27,lv_2854,lv_1979,122Ag,122Cd,875.27,0.11,2854.24,1978.97,new,doublet_affected,doublet,2.70,7.69,4945,70,0.02604,0.00011,0.40740,189900,774,189900,774,1.4814,0.0244,1.3217,0.0236,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_1705_lv_569,pk_1135p23,lv_1705,lv_569,122Ag,122Cd,1135.23,0.11,1704.59,569.36,known,normal,,2.30,16.52,5431,74,0.02139,0.00008,0.38097,253910,967,253910,967,1.9807,0.0313,1.7673,0.0306,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
tr_lv_1910_lv_569,pk_1340p61,lv_1910,lv_569,122Ag,122Cd,1340.61,0.12,1909.97,569.36,known,normal,,1.96,4.72,2010,45,0.01880,0.00008,0.42125,106873,450,106873,450,0.8337,0.0198,0.7439,0.0185,,,no IC,,,,,,,,,,,,true,122Ag_summary_ENDGAME_scheme
