peak_id,e_gamma_keV,de_gamma_keV,level_initial_id,level_final_id,current_relative_percent,current_relative_err_percent,current_absolute_percent,current_absolute_err_percent,literature_status,literature_source_primary,literature_e_gamma_keV,literature_i_gamma_rel_percent,literature_i_gamma_abs_percent,delta_e_current_minus_lit_keV,intensity_ratio_current_to_lit,agreement_status,quality_flag,comment
pk_2596p22,2596.22,0.24,lv_4302,lv_1705,0.5839,0.0215,0.521,0.0195,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_2767p02,2767.02,0.13,lv_4135,lv_1368,2.158,0.0477,1.9254,0.0446,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_2897p36,2897.36,0.11,lv_3467,lv_569,2.6698,0.0562,2.3821,0.0529,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_2935p68,2935.68,0.12,lv_2936,lv_0,1.2308,0.0349,1.0981,0.032,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_2985p13,2985.13,0.16,lv_3555,lv_569,0.6968,0.0254,0.6217,0.023,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_3038p15,3038.15,0.25,lv_3608,lv_569,0.2339,0.0142,0.2087,0.0128,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_3050p64,3050.64,0.11,lv_3050,lv_0,1.5427,0.0408,1.3765,0.0377,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_3239p21,3239.21,0.12,lv_3809,lv_569,1.4374,0.0404,1.2825,0.0372,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_3467p18,3467.18,0.11,lv_3467,lv_0,2.5772,0.0616,2.2995,0.0573,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_3555p10,3555.1,0.13,lv_3555,lv_0,0.7748,0.0296,0.6913,0.0268,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_3732p81,3732.81,0.18,lv_4302,lv_569,0.7567,0.03,0.6751,0.0272,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_3808p63,3808.63,0.12,lv_3809,lv_0,1.5436,0.0468,1.3772,0.0429,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_4084p20,4084.2,0.18,lv_4084,lv_0,0.7913,0.0324,0.706,0.0294,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
pk_4302p83,4302.83,0.18,lv_4302,lv_0,0.5329,0.0266,0.4755,0.024,new_in_current_analysis,current_analysis,,,,,,new_transition_no_literature_value_expected,normal,
