peak_id,e_gamma_keV,de_gamma_keV,fwhm_keV,fwhm_err_percent,integral_counts,integral_err,efficiency,efficiency_err,fit_error_percent
ns_pk_025,1335.29,0.13,1.97,0.2,921,30,0.01886,8e-05,0.41992
ns_pk_026,1358.08,0.27,2.68,9.46,461,21,0.01861,8e-05,0.42571
ns_pk_027,1384.74,0.23,1.83,18.28,346,19,0.01833,8e-05,0.4327
ns_pk_028,1474.51,0.13,2.42,3.48,1092,33,0.01744,8e-05,0.45748
ns_pk_029,1506.16,0.12,2.97,0.52,1984,45,0.01715,8e-05,0.46656
ns_pk_030,1515.41,0.14,2.22,1.26,817,29,0.01706,8e-05,0.46925
ns_pk_031,1612.01,0.17,2.12,1.99,716,27,0.01623,8e-05,0.49786
ns_pk_032,1667.15,0.18,4.66,0.95,2081,46,0.01579,8e-05,0.51458
ns_pk_033,1850.54,0.16,3.2,1.89,825,29,0.01449,8e-05,0.57188
ns_pk_034,1903.16,0.12,3.05,5.17,1811,43,0.01416,8e-05,0.5888
ns_pk_035,2104.17,0.28,2.46,0.16,542,23,0.013,9e-05,0.65573
ns_pk_036,2115.17,0.29,4.52,4.82,1092,33,0.01294,9e-05,0.65951
ns_pk_037,2159.57,0.16,3.57,4.14,1312,36,0.01272,9e-05,0.67491
ns_pk_038,2196.62,0.28,2.65,4.73,301,17,0.01253,9e-05,0.68794
ns_pk_039,2219.67,0.18,2.39,0.72,384,20,0.01242,9e-05,0.69612
ns_pk_040,2237.9,0.15,0.99,2.93,127,11,0.01233,9e-05,0.70264
ns_pk_041,2246.73,0.13,3.49,2.9,1371,37,0.01229,9e-05,0.70581
ns_pk_042,2325.05,0.17,3.56,1.77,1048,32,0.01193,9e-05,0.73439
ns_pk_043,2386.88,0.28,5.33,4.14,865,29,0.01166,9e-05,0.75752
ns_pk_044,2466.41,0.22,4.05,7.59,668,26,0.01133,9e-05,0.78804
ns_pk_045,2796.61,0.14,3.19,1.07,876,30,0.01013,9e-05,0.92448
ns_pk_046,3297.71,0.13,3.77,4.69,1067,33,0.00873,0.0001,1.16178
ns_pk_047,622.4,0.15,1.76,8.57,2329,48,0.03367,0.00021,0.61928
ns_pk_048,667.0,1.0,1.0,0.0,11193,106,0.03194,0.00018,0.56362
ns_pk_049,867.52,0.16,1.64,9.2,373,19,0.02621,0.00011,0.41055
ns_pk_050,884.06,0.39,0.57,32.68,134,12,0.02584,0.0001,0.40404
