E (keV),E error (keV),from (keV),from spin,onto (keV),onto spin,relative (%),relative err (%),absolute (%),absolute err (%),E1,M1,E2,M2,E3,M3,E4,M4,E5,M5
1627.05,0.12,2196.41,,569.36,2+,1.57517028864421,0.030870277883453,1.40542587529256,0.031997782382338,,,,,,,,,,
1721.39,0.13,3050.48,,1328.92,(4+),0.978848380195474,0.023929996121144,0.873365153871096,0.023628157037927,,,,,,,,,,
1746.49,0.12,2315.85,,569.36,2+,1.26484336543087,0.027888975086737,1.12854058179242,0.028110424293737,,,,,,,,,,
2008.21,0.11,2577.57,,569.36,2+,2.56620935301631,0.045544132975215,2.28966801376835,0.048530452792319,,,,,,,,,,
2031.71,0.13,4955.00,,2923.29,,0.652206689108106,0.020460248193925,0.581923213965893,0.019460911352828,,,,,,,,,,
2098.96,0.14,2668.27,,569.36,2+,0.557688553801881,0.019057427063245,0.497590596723532,0.017954708016403,,,,,,,,,,
2366.11,0.16,2935.58,,569.36,2+,0.487686559416473,0.018692520006496,0.4351321978186,0.017423643261182,,,,,,,,,,
2596.22,0.24,4301.94,,1704.59,0(+),0.583940188348837,0.02150108690575,0.521013287417357,0.020111592459433,,,,,,,,,,
2767.02,0.13,4134.90,,1367.88,(2)+,2.15799063978535,0.047666357040071,1.92544000204827,0.048026522478617,,,,,,,,,,
2897.36,0.11,3466.95,,569.36,2+,2.6698049436991,0.056196234506577,2.3820998763812,0.057235854272048,,,,,,,,,,
2935.68,0.12,2935.58,,0,0+,1.23077478668772,0.034858995261363,1.09814332097227,0.033604771557384,,,,,,,,,,
2985.13,0.16,3554.80,,569.36,2+,0.696780187357787,0.02536319597351,0.621693357069805,0.023748918592792,,,,,,,,,,
3038.15,0.25,3607.51,,569.36,2+,0.23391313505071,0.01423709801469,0.208706052254219,0.012931023961683,,,,,,,,,,
3050.64,0.11,3050.48,,0,0+,1.54274316412273,0.040797547632748,1.37649318135313,0.039742172505299,,,,,,,,,,
3239.21,0.12,3808.60,,569.36,2+,1.4374419262528,0.04043427618076,1.28253947649363,0.039018008234587,,,,,,,,,,
3467.18,0.11,3466.95,,0,0+,2.57722619287474,0.061563339449754,2.29949765054642,0.061050554506588,,,,,,,,,,
3555.10,0.13,3554.80,,0,0+,0.774820035432339,0.029554638329735,0.691323429817228,0.027559643293524,,,,,,,,,,
3732.81,0.18,4301.94,,569.36,2+,0.756682574953189,0.029970173466919,0.675140508863688,0.027861367328927,,,,,,,,,,
3808.63,0.12,3808.60,,0,0+,1.54356066024577,0.046783743369208,1.37722258198528,0.044688720940389,,,,,,,,,,
4084.20,0.18,4084.20,,0,0+,0.791273126108087,0.032438095930485,0.7060034930021,0.030076428021668,,,,,,,,,,
4302.83,0.18,4301.94,,0,0+,0.532935915393711,0.026594137429082,0.475505366478017,0.024359597492716,,,,,,,,,,
